"year","month","Fleet","sex","partition","ageErr","LbinLo","LbinHi","nSamps","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M0.1","M1.1","M2.1","M3.1","M4.1","M5.1","M6.1","M7.1","M8.1","M9.1","M10.1","M11.1","M12.1","M13.1","M14.1","M15.1"
2016,"Month","Fleet",2,0,"Enter",48,48,2,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",2,0,"Enter",50,50,3,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",2,0,"Enter",52,52,7,0,0,0,42.8571428571429,42.8571428571429,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8571428571429,42.8571428571429,14.2857142857143,0,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",2,0,"Enter",54,54,4,0,0,0,50,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,25,0,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",2,0,"Enter",56,56,3,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",2,0,"Enter",58,58,4,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",2,0,"Enter",60,60,2,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",2,0,"Enter",62,62,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",2,0,"Enter",64,64,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",2,0,"Enter",66,66,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",2,0,"Enter",68,68,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",2,0,"Enter",72,72,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2016,"Month","Fleet",2,0,"Enter",76,76,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
