"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","U0","U1","U2","U3","U4","U5","U6","U7","U8","U9","U10","U11","U12","U13","U14","U15","U0.1","U1.1","U2.1","U3.1","U4.1","U5.1","U6.1","U7.1","U8.1","U9.1","U10.1","U11.1","U12.1","U13.1","U14.1","U15.1"
2003,"Month","Fleet",0,0,"Enter","Enter","Enter",242,0,11.1111111111111,22.2222222222222,22.2222222222222,22.2222222222222,22.2222222222222,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111,22.2222222222222,22.2222222222222,22.2222222222222,22.2222222222222,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",0,0,"Enter","Enter","Enter",223,55.5555555555556,22.2222222222222,11.1111111111111,11.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,55.5555555555556,22.2222222222222,11.1111111111111,11.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0
2005,"Month","Fleet",0,0,"Enter","Enter","Enter",278,0,50,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2006,"Month","Fleet",0,0,"Enter","Enter","Enter",299,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2007,"Month","Fleet",0,0,"Enter","Enter","Enter",249,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Month","Fleet",0,0,"Enter","Enter","Enter",273,33.3333333333333,0,11.1111111111111,0,11.1111111111111,22.2222222222222,11.1111111111111,11.1111111111111,0,0,0,0,0,0,0,0,33.3333333333333,0,11.1111111111111,0,11.1111111111111,22.2222222222222,11.1111111111111,11.1111111111111,0,0,0,0,0,0,0,0
2010,"Month","Fleet",0,0,"Enter","Enter","Enter",273,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Month","Fleet",0,0,"Enter","Enter","Enter",308,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Month","Fleet",0,0,"Enter","Enter","Enter",225,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2013,"Month","Fleet",0,0,"Enter","Enter","Enter",211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Month","Fleet",0,0,"Enter","Enter","Enter",221,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Month","Fleet",0,0,"Enter","Enter","Enter",225,66.6666666666667,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",0,0,"Enter","Enter","Enter",204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
