"year","month","fleet","sex","partition","Nsamp","F-10","F-12","F-14","F-16","F-18","F-20","F-22","F-24","F-26","F-28","F-30","F-32","F-34","F-36","F-38","F-40","F-42","F-44","F-46","F-48","F-50","F-52","F-54","F-56","F-58","F-60","F-62","F-64","F-66","F-68","F-70","F-72","F-74","F-76","F-78","F-80","F-82","F-84","F-86","F-88","F-90","F-92","F-94","F-96","F-98","F-100","F-102","F-104","F-106","F-108","F-110","F-112","F-114","F-116","F-118","F-120","F-122","F-124","F-126","F-128","F-130","M-10","M-12","M-14","M-16","M-18","M-20","M-22","M-24","M-26","M-28","M-30","M-32","M-34","M-36","M-38","M-40","M-42","M-44","M-46","M-48","M-50","M-52","M-54","M-56","M-58","M-60","M-62","M-64","M-66","M-68","M-70","M-72","M-74","M-76","M-78","M-80","M-82","M-84","M-86","M-88","M-90","M-92","M-94","M-96","M-98","M-100","M-102","M-104","M-106","M-108","M-110","M-112","M-114","M-116","M-118","M-120","M-122","M-124","M-126","M-128","M-130"
2016,1,NA,3,2,835,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,4,6,9,13,9,4,14,14,14,16,17,17,20,39,45,65,53,32,31,15,16,6,8,3,4,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,5,14,16,22,33,21,22,27,27,36,43,28,12,12,14,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
